State,Registration Deadline In-Person,Registration Deadline By Mail,Registration Deadline Online,Election Day Registration,Online Registration Link,Description
"South Carolina","2018-10-17","2018-10-17","2018-10-17","","https://web.archive.org/web/20190209174006/https://info.scvotes.sc.gov/eng/ovr/start.aspx","Postmarked or submitted 30 days before the election."
"South Dakota","2018-10-22","2018-10-22","2018-10-22","","","Received 15 days before the election."
"Tennessee","2018-10-09","2018-10-09","2018-10-09","","https://web.archive.org/web/20190209174006/https://ovr.govote.tn.gov/","Postmarked or submitted 30 days before the election."
"Texas","2018-10-09","2018-10-09","2018-10-09","","","Postmarked or submitted 30 days before the election."
"Utah","2018-10-30","2018-10-09","2018-10-30","","https://web.archive.org/web/20190209174006/https://secure.utah.gov/voterreg/index.html","Postmarked 30 days before the election by mail. Submitted 7 days before election online or in person at county election office."
"Vermont","2018-11-06","2018-11-06","2018-11-06","In-person through Election Day","https://web.archive.org/web/20190209174006/https://olvr.sec.state.vt.us/",""
"Virginia","2018-10-15","2018-10-15","2018-10-15","","https://web.archive.org/web/20190209174006/https://www.vote.virginia.gov/","Postmarked or submitted 22 days before the election."
"Washington","2018-10-29","2018-10-08","2018-10-08","","https://web.archive.org/web/20190209174006/http://www.sos.wa.gov/elections/myvote/olvr.html","Postmarked or submitted the Monday four weeks before the election by mail or online. Submitted in person on the Monday one week before the election in person."
"West Virginia","2018-10-16","2018-10-16","2018-10-16","","https://web.archive.org/web/20190209174006/https://ovr.sos.wv.gov/Register#Qualifications","Postmarked or submitted 21 days before the election."
"Wisconsin","2018-11-06","2018-10-17","2018-10-17","In-person through Election Day","https://web.archive.org/web/20190209174006/https://myvote.wi.gov/en-us/RegisterToVote","Postmarked 20 days before the election. In-person by the voter the Friday before the election. On Election Day at your polling place."
"Wyoming","2018-11-06","2018-10-22","2018-10-22","In-person through Election Day","","You may register and vote at the same time — during the absentee voting period or on Election Day."
